,department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,kpi_80,award_won,avg_training_score,is_promoted,sum_metric,total_score
86,Operations,Bachelor's,f,1,42,4.0,12,0.0,0,61.0,0,4.0,122.0
87,Sales & Marketing,Bachelor's,m,1,25,3.0,2,0.0,0,49.0,0,3.0,49.0
88,Sales & Marketing,Bachelor's,m,1,29,1.5,6,0.0,0,49.0,0,1.0,98.0
89,Sales & Marketing,Bachelor's,m,1,40,3.0,9,0.0,0,50.0,0,3.0,50.0
90,Sales & Marketing,Bachelor's,m,1,25,4.0,2,0.0,0,49.0,0,4.0,98.0
91,Operations,Master's & above,f,1,54,5.0,11,1.0,0,85.0,1,6.0,85.0
92,Operations,Bachelor's,m,1,46,4.0,4,0.0,0,59.0,0,4.0,59.0
93,Operations,Bachelor's,f,1,37,2.0,7,0.0,0,57.0,0,2.0,57.0
94,Sales & Marketing,Master's & above,m,1,29,3.0,5,0.0,0,56.0,0,3.0,56.0
95,Operations,Bachelor's,f,1,54,3.0,8,0.0,0,60.0,0,3.0,120.0
96,Sales & Marketing,Master's & above,m,1,36,2.0,5,0.0,0,49.0,0,2.0,49.0
97,Sales & Marketing,Bachelor's,f,1,30,3.0,1,0.0,0,45.0,0,,45.0
98,Operations,Bachelor's,f,1,40,3.0,8,0.0,0,59.0,0,3.0,59.0
99,Procurement,Bachelor's,f,1,32,3.0,1,1.0,0,68.0,0,,68.0
100,Sales & Marketing,Bachelor's,m,1,29,5.0,5,1.0,0,46.0,0,6.0,46.0
101,Technology,Bachelor's,m,1,32,4.0,2,1.0,0,80.0,0,5.0,130.5
102,Analytics,Bachelor's,m,1,32,4.0,3,0.0,0,90.0,0,4.0,90.0
103,Sales & Marketing,Bachelor's,f,1,28,1.5,6,0.0,0,46.0,0,1.0,92.0
104,Procurement,Bachelor's,m,1,31,5.0,3,1.0,0,72.0,0,6.0,72.0
105,Sales & Marketing,Bachelor's,f,1,25,3.0,1,0.0,0,50.0,0,,130.5
106,Sales & Marketing,Bachelor's,m,1,52,3.0,13,0.0,0,45.0,0,3.0,45.0
107,Operations,Master's & above,f,1,40,3.0,11,1.0,0,56.0,0,4.0,56.0
108,Procurement,Bachelor's,f,1,32,3.0,6,0.0,0,66.0,0,3.0,130.5
109,HR,Master's & above,f,1,51,3.0,13,0.0,0,51.0,0,3.0,51.0
110,Sales & Marketing,Master's & above,m,1,43,1.5,13,0.0,0,48.0,0,1.0,130.5
111,Sales & Marketing,Bachelor's,m,1,35,3.0,10,0.0,0,49.0,0,3.0,49.0
112,Procurement,Master's & above,f,1,31,1.5,2,0.0,0,71.0,0,1.0,71.0
113,Finance,Bachelor's,m,1,30,5.0,2,1.0,0,57.0,0,6.0,57.0
114,Sales & Marketing,Bachelor's,m,1,30,1.5,3,0.0,0,50.0,0,1.0,50.0
115,Analytics,Bachelor's,m,1,27,5.0,3,1.0,0,86.0,0,6.0,86.0
116,Analytics,Master's & above,m,1,40,5.0,12,0.0,0,86.0,0,5.0,130.5
117,Operations,Bachelor's,f,1,30,3.0,1,0.0,0,61.0,0,,61.0
118,Analytics,Bachelor's,m,1,43,2.0,13,0.0,0,80.0,0,2.0,80.0
119,Sales & Marketing,Bachelor's,m,1,32,3.0,1,1.0,0,47.0,0,,47.0
120,Technology,Bachelor's,f,1,26,4.0,3,0.0,0,80.0,0,4.0,80.0
121,Procurement,Bachelor's,m,1,41,2.0,9,0.0,0,69.0,0,2.0,69.0
122,HR,Bachelor's,m,1,50,3.0,13,0.0,0,48.0,0,3.0,48.0
123,Operations,Bachelor's,m,1,32,5.0,7,1.0,0,55.0,0,6.0,55.0
124,Finance,Bachelor's,m,1,32,3.0,7,0.0,0,57.0,0,3.0,57.0
125,Sales & Marketing,Bachelor's,m,1,38,3.0,9,1.0,0,50.0,0,4.0,50.0
126,Technology,Master's & above,m,1,37,2.0,8,0.0,0,82.0,0,2.0,130.5
127,Sales & Marketing,Bachelor's,m,1,31,5.0,4,0.0,0,50.0,0,5.0,50.0
128,HR,Bachelor's,m,1,45,4.0,2,0.0,0,44.0,0,4.0,44.0
129,Operations,Master's & above,m,1,46,5.0,13,1.0,0,60.0,0,6.0,120.0
130,Procurement,Master's & above,f,1,42,3.0,13,0.0,0,67.0,0,3.0,67.0
131,HR,Bachelor's,m,1,26,1.5,2,0.0,0,51.0,0,1.0,51.0
132,Technology,Master's & above,m,1,41,5.0,13,1.0,0,80.0,1,6.0,80.0
133,Sales & Marketing,Bachelor's,m,1,53,1.5,3,0.0,0,49.0,0,1.0,49.0
134,Procurement,Bachelor's,m,1,54,2.0,3,0.0,0,70.0,0,2.0,70.0
135,Operations,Bachelor's,m,1,31,4.0,4,0.0,0,61.0,0,4.0,61.0
136,Operations,Master's & above,m,1,32,5.0,5,1.0,0,60.0,0,6.0,120.0
137,Operations,Bachelor's,m,1,23,3.0,1,1.0,0,61.0,0,,122.0
138,Technology,Master's & above,m,1,48,1.5,13,0.0,0,80.0,0,1.0,80.0
139,Sales & Marketing,Bachelor's,m,1,28,1.5,2,0.0,0,50.0,0,1.0,100.0
140,Analytics,Bachelor's,m,1,42,3.0,11,0.0,0,82.0,0,3.0,82.0
141,Sales & Marketing,Bachelor's,m,1,30,3.0,5,0.0,0,47.0,0,4.0,94.0
142,Operations,Bachelor's,f,1,31,3.0,5,1.0,0,55.0,0,4.0,55.0
143,Analytics,Bachelor's,m,1,33,3.0,6,0.0,0,85.0,0,3.0,130.5
144,Analytics,Bachelor's,m,1,29,4.0,7,0.0,0,84.0,0,4.0,130.5
145,Operations,Bachelor's,m,1,30,5.0,4,1.0,0,55.0,0,6.0,55.0
146,Analytics,Master's & above,m,1,35,3.0,10,0.0,0,78.0,0,3.0,78.0
147,Procurement,Master's & above,m,1,54,5.0,13,1.0,0,66.0,0,6.0,66.0
148,Analytics,Bachelor's,m,1,28,3.0,1,0.0,0,84.0,0,,84.0
149,R&D,Bachelor's,f,1,32,4.0,3,1.0,0,85.0,0,5.0,85.0
150,Operations,Bachelor's,m,1,46,3.0,13,0.0,0,63.0,0,3.0,63.0
151,Finance,Bachelor's,f,1,42,3.0,12,0.0,0,64.0,0,3.0,64.0
152,Sales & Marketing,Bachelor's,f,1,38,4.0,3,0.0,0,52.0,0,4.0,52.0
153,Procurement,Master's & above,f,1,33,5.0,2,1.0,0,68.0,1,7.0,68.0
154,Procurement,Bachelor's,m,1,30,3.0,9,0.0,0,71.0,0,3.0,71.0
155,Technology,Bachelor's,f,1,30,4.0,3,0.0,0,83.0,0,4.0,130.5
156,HR,Bachelor's,m,1,33,4.0,5,0.0,0,55.0,1,4.0,55.0
157,Technology,Bachelor's,m,1,33,2.0,6,0.0,0,79.0,0,2.0,79.0
158,Finance,Bachelor's,m,1,30,3.0,7,0.0,0,57.0,0,3.0,130.5
159,Operations,Master's & above,f,1,33,5.0,5,1.0,0,62.0,0,6.0,62.0
160,Sales & Marketing,Bachelor's,f,1,36,3.0,3,0.0,0,46.0,0,3.0,92.0
161,Finance,Master's & above,f,1,43,4.0,13,0.0,0,63.0,0,4.0,63.0
162,Sales & Marketing,Bachelor's,m,1,25,3.0,2,0.0,0,45.0,0,3.0,90.0
163,Sales & Marketing,Bachelor's,m,1,32,2.0,3,1.0,0,48.0,0,3.0,48.0
164,Analytics,Master's & above,m,1,40,5.0,5,0.0,0,83.0,1,6.0,83.0
165,R&D,Bachelor's,m,1,30,4.0,6,1.0,0,84.0,0,5.0,130.5
166,Analytics,Bachelor's,m,1,31,3.0,2,1.0,0,77.0,0,4.0,130.5
167,HR,Bachelor's,f,1,30,5.0,4,1.0,0,47.0,0,6.0,47.0
168,Analytics,Bachelor's,m,1,30,2.0,5,0.0,0,85.0,0,2.0,85.0
169,Analytics,Bachelor's,m,1,30,5.0,5,1.0,0,82.0,0,6.0,82.0
170,HR,Bachelor's,m,1,37,1.5,4,0.0,0,47.0,0,1.0,47.0
171,Sales & Marketing,Bachelor's,f,1,45,2.0,13,0.0,0,46.0,0,2.0,46.0
172,Sales & Marketing,Bachelor's,m,1,36,1.5,4,0.0,0,49.0,0,1.0,49.0
173,Sales & Marketing,Master's & above,f,1,41,4.0,5,1.0,0,48.0,0,5.0,48.0
174,Sales & Marketing,Bachelor's,m,1,37,1.5,4,0.0,0,49.0,0,1.0,98.0
175,Procurement,Master's & above,f,1,33,3.0,7,1.0,0,70.0,0,4.0,70.0
176,Analytics,Bachelor's,m,1,27,3.0,1,0.0,0,85.0,0,,85.0
177,Finance,Bachelor's,m,1,32,3.0,2,0.0,0,55.0,0,3.0,110.0
178,Sales & Marketing,Bachelor's,m,1,54,3.0,13,0.0,0,50.0,0,3.0,50.0
179,Procurement,Master's & above,f,1,43,3.0,13,0.0,0,68.0,0,3.0,130.5
180,Operations,Bachelor's,m,1,24,5.0,2,0.0,0,63.0,0,5.0,63.0
181,Operations,Master's & above,m,1,43,5.0,5,1.0,0,67.0,0,6.0,67.0
182,Sales & Marketing,Master's & above,m,1,48,4.0,13,0.0,0,46.0,0,4.0,46.0
183,Operations,Bachelor's,f,1,35,2.0,9,1.0,0,59.0,0,3.0,59.0
184,Technology,Master's & above,f,1,35,3.0,8,0.0,0,79.0,0,3.0,79.0
185,Analytics,Bachelor's,m,1,29,5.0,5,1.0,0,87.0,0,6.0,87.0
186,Procurement,Bachelor's,f,1,38,5.0,8,1.0,0,71.0,0,6.0,130.5
187,HR,Master's & above,f,1,32,4.0,8,1.0,0,46.0,0,5.0,46.0
188,Operations,Bachelor's,m,1,31,1.5,8,0.0,0,59.0,0,1.0,59.0
189,Analytics,Bachelor's,m,1,26,5.0,2,0.0,0,82.0,0,5.0,82.0
190,Finance,Bachelor's,m,1,32,4.0,8,0.0,0,58.0,0,4.0,58.0
191,HR,Master's & above,f,1,43,1.5,7,0.0,0,51.0,0,1.0,51.0
192,Analytics,Bachelor's,m,1,38,1.5,9,0.0,0,83.0,0,1.0,130.5
193,Operations,Bachelor's,f,1,51,4.0,13,0.0,0,63.0,0,4.0,63.0
194,Operations,Bachelor's,m,1,28,5.0,3,1.0,0,58.0,0,6.0,58.0
195,Operations,Bachelor's,m,1,38,4.0,4,1.0,0,63.0,0,5.0,126.0
196,HR,Bachelor's,m,1,36,5.0,9,1.0,0,47.0,0,6.0,47.0
197,Sales & Marketing,Bachelor's,m,1,36,3.0,4,1.0,0,51.0,0,4.0,51.0
198,Operations,Master's & above,m,1,38,3.0,11,0.0,0,62.0,0,3.0,124.0
199,Operations,Bachelor's,f,1,28,3.0,1,1.0,0,68.0,0,,68.0
200,R&D,Master's & above,m,1,36,3.0,4,0.0,0,84.0,0,3.0,130.5
201,Sales & Marketing,Bachelor's,m,1,26,1.5,4,0.0,0,49.0,0,1.0,49.0
202,Operations,Master's & above,m,1,54,4.0,4,1.0,0,56.0,0,5.0,56.0
203,Operations,Below Secondary,m,1,26,3.0,2,0.0,0,60.0,0,3.0,120.0
204,Sales & Marketing,Bachelor's,m,1,38,2.0,6,0.0,0,50.0,0,2.0,50.0
205,HR,Bachelor's,f,1,22,1.5,2,0.0,0,50.0,0,1.0,50.0
206,Technology,Bachelor's,f,1,29,4.0,3,0.0,0,77.0,0,4.0,130.5
207,Procurement,Bachelor's,m,1,43,1.5,11,0.0,0,67.0,0,1.0,130.5
208,Sales & Marketing,Bachelor's,m,1,31,4.0,5,0.0,0,49.0,0,4.0,49.0
209,Sales & Marketing,Bachelor's,m,1,27,4.0,4,0.0,0,49.0,0,4.0,130.5
210,Procurement,Master's & above,m,1,35,5.0,8,1.0,0,68.0,0,6.0,68.0
211,Sales & Marketing,Bachelor's,m,1,32,3.0,5,1.0,0,50.0,0,4.0,50.0
212,Sales & Marketing,Master's & above,m,1,43,1.5,9,0.0,0,47.0,0,1.0,94.0
213,Operations,Bachelor's,m,1,33,3.0,7,0.0,0,58.0,0,3.0,116.0
214,Operations,Bachelor's,f,1,31,5.0,3,0.0,0,59.0,0,5.0,118.0
215,Procurement,Master's & above,f,1,47,4.0,13,0.0,0,71.0,0,4.0,130.5
216,Sales & Marketing,Bachelor's,m,1,36,3.0,5,0.0,0,52.0,0,3.0,52.0
217,HR,Bachelor's,f,1,30,2.0,3,0.0,0,50.0,0,2.0,50.0
218,Sales & Marketing,Master's & above,m,1,54,2.0,6,0.0,0,49.0,0,2.0,98.0
219,Sales & Marketing,Bachelor's,f,1,28,2.0,2,0.0,0,55.0,0,2.0,55.0
220,Sales & Marketing,Bachelor's,m,1,29,1.5,5,0.0,0,50.0,0,1.0,50.0
221,Sales & Marketing,Bachelor's,m,1,28,3.0,5,1.0,0,49.0,0,4.0,49.0
222,Operations,Master's & above,f,1,35,3.0,6,0.0,0,58.0,0,3.0,58.0
223,Operations,Bachelor's,m,1,37,3.0,7,0.0,0,63.0,0,3.0,63.0
224,Sales & Marketing,Bachelor's,m,1,54,3.0,7,1.0,0,49.0,1,4.0,49.0
225,Operations,Bachelor's,m,1,36,5.0,7,1.0,0,57.0,1,6.0,57.0
226,Operations,Bachelor's,m,1,28,5.0,3,0.0,0,61.0,0,5.0,61.0
227,Analytics,Bachelor's,m,1,28,5.0,8,0.0,0,87.0,0,5.0,87.0
228,Sales & Marketing,Bachelor's,m,1,35,5.0,5,0.0,0,48.0,0,5.0,48.0
229,Legal,Bachelor's,f,1,27,2.0,2,1.0,0,61.0,1,3.0,61.0
230,Analytics,Master's & above,m,1,34,3.0,6,0.0,0,80.0,0,3.0,80.0
231,Sales & Marketing,Bachelor's,m,1,21,3.0,1,0.0,0,50.0,0,,50.0
232,Sales & Marketing,Master's & above,m,1,39,5.0,7,1.0,0,51.0,0,6.0,51.0
233,Technology,Bachelor's,f,1,29,3.0,3,0.0,0,78.0,0,3.0,78.0
234,Technology,Bachelor's,f,1,33,5.0,3,1.0,0,81.0,0,6.0,130.5
235,Sales & Marketing,Master's & above,m,1,20,3.0,1,0.0,0,46.0,0,,46.0
236,Operations,Master's & above,m,1,36,2.0,7,0.0,0,59.0,0,2.0,59.0
237,Analytics,Bachelor's,m,1,29,3.0,2,0.0,0,81.0,0,3.0,81.0
238,Procurement,Master's & above,f,1,32,1.5,4,0.0,0,70.0,0,1.0,70.0
239,Sales & Marketing,Master's & above,m,1,37,5.0,7,1.0,0,50.0,0,6.0,50.0
240,Technology,Bachelor's,f,1,32,3.0,5,1.0,0,78.0,0,4.0,78.0
241,HR,Master's & above,f,1,45,3.0,4,0.0,0,46.0,0,3.0,46.0
242,Legal,Bachelor's,m,1,27,3.0,1,0.0,0,59.0,0,,59.0
243,Operations,Bachelor's,f,1,32,4.0,2,1.0,0,57.0,0,5.0,114.0
244,Operations,Master's & above,m,1,50,4.0,9,0.0,0,65.0,0,4.0,65.0
245,Sales & Marketing,Bachelor's,m,1,35,3.0,8,0.0,0,48.0,0,3.0,48.0
246,Legal,Bachelor's,m,1,26,3.0,1,0.0,0,59.0,0,,59.0
247,Procurement,Bachelor's,f,1,29,3.0,5,1.0,0,71.0,0,4.0,71.0
248,Finance,Bachelor's,f,1,29,3.0,1,0.0,0,54.0,0,,54.0
249,Operations,Bachelor's,f,1,33,5.0,8,1.0,0,61.0,0,6.0,61.0
250,Sales & Marketing,Bachelor's,m,1,25,3.0,1,0.0,0,47.0,0,,130.5
251,Operations,Bachelor's,m,1,27,4.0,5,0.0,0,55.0,0,4.0,55.0
252,Procurement,Bachelor's,f,1,54,5.0,13,0.0,0,69.0,0,5.0,69.0
253,Finance,Master's & above,m,1,42,4.0,11,0.0,0,60.0,0,4.0,60.0
254,Operations,Bachelor's,m,1,29,5.0,4,0.0,0,56.0,0,5.0,56.0
255,Analytics,Bachelor's,m,1,32,4.0,7,1.0,0,85.0,0,5.0,130.5
256,Technology,Bachelor's,f,1,38,4.0,10,1.0,0,82.0,0,5.0,82.0
257,Operations,Master's & above,m,1,42,5.0,7,1.0,0,62.0,0,6.0,62.0
258,Procurement,Bachelor's,f,1,35,3.0,10,0.0,0,73.0,0,3.0,73.0
259,Sales & Marketing,Bachelor's,m,1,26,2.0,5,0.0,0,50.0,0,2.0,50.0
260,Finance,Bachelor's,f,1,25,4.0,3,0.0,0,61.0,0,4.0,61.0
261,Sales & Marketing,Master's & above,m,1,49,4.0,6,1.0,0,64.0,1,5.0,64.0
262,Sales & Marketing,Bachelor's,m,1,43,2.0,2,1.0,0,50.0,0,3.0,50.0
263,Operations,Bachelor's,m,1,27,1.5,2,1.0,0,60.0,0,2.0,60.0
264,Operations,Bachelor's,m,1,37,3.0,3,0.0,0,66.0,0,3.0,66.0
265,Technology,Bachelor's,f,1,32,2.0,4,0.0,0,96.0,1,3.0,96.0
266,Operations,Bachelor's,m,1,42,5.0,13,1.0,0,60.0,0,6.0,60.0
267,Legal,Master's & above,m,1,34,3.0,3,0.0,0,61.0,0,3.0,61.0
268,Sales & Marketing,Bachelor's,m,1,32,5.0,7,0.0,0,50.0,0,5.0,50.0
269,Operations,Bachelor's,m,1,30,3.0,7,0.0,0,60.0,0,3.0,60.0
270,Sales & Marketing,Master's & above,m,1,52,2.0,9,0.0,0,47.0,0,2.0,47.0
271,Technology,Bachelor's,f,1,27,5.0,3,1.0,0,94.0,1,6.0,94.0
272,Operations,Bachelor's,m,1,30,4.0,2,0.0,0,63.0,0,4.0,63.0
273,Technology,Master's & above,f,1,49,3.0,13,0.0,0,82.0,0,3.0,82.0
274,Operations,Bachelor's,m,1,49,5.0,7,1.0,0,58.0,0,6.0,58.0
275,Procurement,Bachelor's,f,1,50,5.0,13,1.0,0,74.0,0,6.0,74.0
276,Sales & Marketing,Bachelor's,m,1,32,1.5,8,0.0,0,53.0,0,1.0,53.0
277,Technology,Bachelor's,m,1,36,3.0,10,0.0,0,74.0,0,4.0,130.5
278,Sales & Marketing,Bachelor's,m,1,34,1.5,2,0.0,0,57.0,0,2.0,57.0
279,Operations,Bachelor's,f,1,30,3.0,4,1.0,0,57.0,0,4.0,57.0
280,Procurement,Bachelor's,m,1,31,1.5,6,0.0,0,71.0,0,1.0,71.0
281,Operations,Master's & above,m,1,34,3.0,2,1.0,0,55.0,0,4.0,55.0
282,Technology,Master's & above,m,1,32,3.0,2,0.0,0,79.0,0,3.0,130.5
283,Finance,Bachelor's,m,1,27,3.0,2,1.0,0,62.0,1,4.0,62.0
284,Sales & Marketing,Bachelor's,m,1,34,1.5,4,0.0,0,51.0,0,1.0,51.0
285,Sales & Marketing,Bachelor's,m,1,28,5.0,6,1.0,0,49.0,0,6.0,49.0
286,Procurement,Bachelor's,f,1,34,5.0,7,0.0,0,97.0,1,5.0,97.0
287,Finance,Bachelor's,m,1,27,3.0,2,0.0,0,63.0,0,3.0,63.0
288,Analytics,Bachelor's,m,1,31,5.0,3,0.0,0,86.0,0,5.0,86.0
289,Technology,Bachelor's,m,1,28,2.0,3,0.0,0,81.0,0,2.0,81.0
290,Technology,Bachelor's,m,1,35,3.0,3,1.0,0,83.0,1,4.0,83.0
291,R&D,Bachelor's,m,1,31,4.0,3,0.0,0,84.0,0,4.0,84.0
292,Sales & Marketing,Bachelor's,m,1,36,5.0,4,1.0,0,47.0,0,6.0,47.0
293,Operations,Bachelor's,f,1,34,5.0,6,1.0,0,63.0,0,6.0,126.0
294,Sales & Marketing,Master's & above,m,1,33,2.0,9,0.0,0,49.0,0,2.0,130.5
295,Sales & Marketing,Master's & above,m,1,29,3.0,6,0.0,0,51.0,0,3.0,51.0
296,Sales & Marketing,Master's & above,m,1,37,4.0,4,1.0,0,52.0,0,6.0,52.0
297,Technology,Master's & above,m,1,40,3.0,5,0.0,0,77.0,0,3.0,77.0
298,Sales & Marketing,Master's & above,m,1,40,3.0,9,0.0,0,52.0,0,3.0,104.0
299,Technology,Master's & above,f,1,34,4.0,7,1.0,0,79.0,0,5.0,79.0
