,department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,kpi_80,award_won,avg_training_score,is_promoted,sum_metric,total_score
32,Sales & Marketing,Bachelor's,f,1,24,1.5,2,0.0,0,48.0,0,1.0,48.0
33,Operations,Bachelor's,m,1,54,4.0,6,0.0,0,58.0,0,4.0,116.0
34,Analytics,Bachelor's,m,1,27,5.0,3,1.0,0,87.0,0,6.0,130.5
35,Sales & Marketing,Bachelor's,m,1,40,2.0,4,1.0,0,47.0,0,3.0,47.0
36,Technology,Bachelor's,m,1,33,4.0,4,1.0,0,75.0,0,5.0,75.0
37,Sales & Marketing,Bachelor's,f,1,40,5.0,3,0.0,0,47.0,0,5.0,47.0
38,Sales & Marketing,Master's & above,m,1,42,5.0,5,1.0,0,51.0,0,6.0,51.0
39,Sales & Marketing,Bachelor's,m,1,33,5.0,6,1.0,0,51.0,1,6.0,51.0
40,Technology,Bachelor's,m,1,34,3.0,10,0.0,0,80.0,0,3.0,80.0
41,Operations,Bachelor's,f,1,23,4.0,2,1.0,0,57.0,0,5.0,114.0
42,HR,Bachelor's,m,1,54,4.0,13,1.0,0,52.0,0,5.0,52.0
43,Sales & Marketing,Bachelor's,m,1,24,2.0,2,0.0,0,48.0,0,2.0,130.5
44,Analytics,Bachelor's,m,1,44,5.0,12,0.0,0,88.0,0,5.0,88.0
45,Procurement,Bachelor's,f,1,50,5.0,11,0.0,0,71.0,0,5.0,71.0
46,Procurement,Master's & above,f,1,37,4.0,4,0.0,0,71.0,0,4.0,71.0
47,Technology,Bachelor's,m,1,40,3.0,11,0.0,0,80.0,0,3.0,80.0
48,Sales & Marketing,Bachelor's,m,1,30,3.0,3,1.0,0,49.0,0,4.0,49.0
49,Procurement,Master's & above,f,1,54,3.0,12,0.0,0,73.0,0,3.0,73.0
50,Finance,Bachelor's,m,1,20,4.0,2,1.0,0,60.0,0,5.0,60.0
51,Sales & Marketing,Bachelor's,f,1,31,3.0,8,0.0,0,48.0,0,3.0,48.0
52,Procurement,Bachelor's,m,1,40,3.0,12,1.0,0,65.0,0,4.0,65.0
53,HR,Bachelor's,m,1,30,1.5,6,0.0,0,50.0,0,1.0,50.0
54,Operations,Bachelor's,m,1,39,3.0,5,1.0,0,62.0,0,4.0,62.0
55,Analytics,Bachelor's,m,1,26,2.0,2,0.0,0,85.0,0,2.0,130.5
56,Sales & Marketing,Bachelor's,f,1,29,3.0,1,0.0,0,49.0,0,,49.0
57,R&D,Master's & above,m,1,40,3.0,5,1.0,0,84.0,0,4.0,84.0
58,Sales & Marketing,Bachelor's,m,1,27,3.0,1,1.0,0,47.0,0,,94.0
59,Sales & Marketing,Bachelor's,m,1,40,4.0,7,0.0,0,52.0,0,4.0,52.0
60,Sales & Marketing,Master's & above,m,1,50,4.0,13,1.0,0,47.0,1,5.0,47.0
61,Sales & Marketing,Bachelor's,m,1,25,3.0,3,0.0,0,53.0,0,3.0,53.0
62,Analytics,Bachelor's,f,1,28,3.0,1,1.0,0,80.0,0,,80.0
63,Sales & Marketing,Master's & above,m,1,35,4.0,2,1.0,0,52.0,0,5.0,52.0
64,R&D,Bachelor's,m,1,34,5.0,5,0.0,0,87.0,0,5.0,87.0
65,Operations,Master's & above,f,1,31,3.0,3,1.0,0,58.0,0,4.0,58.0
66,Finance,Bachelor's,m,1,27,3.0,1,1.0,0,58.0,1,,58.0
67,Sales & Marketing,Bachelor's,m,1,27,3.0,1,0.0,0,61.0,1,,61.0
68,Procurement,Bachelor's,m,1,30,4.0,6,1.0,0,75.0,0,5.0,75.0
69,Analytics,Bachelor's,m,1,30,3.0,7,1.0,0,84.0,1,4.0,84.0
70,Operations,Bachelor's,f,1,50,5.0,5,1.0,0,59.0,0,6.0,59.0
71,Technology,Master's & above,m,1,34,5.0,7,1.0,0,78.0,1,6.0,78.0
72,Sales & Marketing,Master's & above,f,1,41,1.5,12,0.0,0,52.0,0,1.0,52.0
73,Sales & Marketing,Bachelor's,m,1,32,4.0,6,0.0,0,44.0,0,4.0,44.0
74,Sales & Marketing,Bachelor's,m,1,50,3.0,13,0.0,0,52.0,0,3.0,52.0
75,Sales & Marketing,Master's & above,m,1,38,4.0,2,1.0,0,49.0,1,5.0,49.0
76,Sales & Marketing,Bachelor's,m,1,29,1.5,5,0.0,0,51.0,0,1.0,102.0
77,Sales & Marketing,Bachelor's,m,1,35,4.0,3,1.0,0,53.0,0,5.0,53.0
78,Analytics,Bachelor's,m,1,25,3.0,2,1.0,0,91.0,0,4.0,91.0
79,Sales & Marketing,Bachelor's,m,1,30,3.0,3,0.0,0,58.0,1,3.0,58.0
80,Technology,Bachelor's,m,1,47,3.0,7,0.0,0,79.0,0,3.0,79.0
81,Operations,Master's & above,m,1,35,2.0,7,0.0,0,53.0,0,2.0,53.0
82,Sales & Marketing,Bachelor's,m,1,25,3.0,2,0.0,0,53.0,0,3.0,106.0
83,R&D,Bachelor's,m,1,36,4.0,8,0.0,0,82.0,0,4.0,82.0
84,Legal,Bachelor's,m,1,29,3.0,1,0.0,0,65.0,1,,65.0
85,Operations,Master's & above,f,1,42,5.0,11,1.0,0,60.0,1,6.0,60.0
86,HR,Bachelor's,f,1,28,2.0,6,0.0,0,52.0,0,2.0,52.0
87,Sales & Marketing,Bachelor's,m,1,39,1.5,9,0.0,0,49.0,0,1.0,49.0
88,Procurement,Master's & above,m,1,32,5.0,3,1.0,0,69.0,1,6.0,69.0
89,Sales & Marketing,Bachelor's,f,1,31,3.0,1,0.0,0,51.0,0,,51.0
90,Sales & Marketing,Bachelor's,f,1,20,3.0,1,0.0,0,55.0,0,,55.0
91,Analytics,Bachelor's,m,1,34,3.0,8,0.0,0,85.0,0,3.0,85.0
92,Procurement,Master's & above,m,1,46,4.0,3,1.0,0,74.0,0,5.0,130.5
93,HR,Master's & above,m,1,47,3.0,7,0.0,0,44.0,0,3.0,44.0
94,Operations,Bachelor's,f,1,44,4.0,13,0.0,0,53.0,0,4.0,53.0
95,Analytics,Bachelor's,m,1,31,4.0,4,1.0,0,86.0,0,5.0,86.0
96,Technology,Bachelor's,f,1,23,3.0,1,0.0,0,77.0,0,,77.0
97,Operations,Bachelor's,f,1,33,3.0,5,0.0,0,57.0,0,3.0,57.0
98,Sales & Marketing,Bachelor's,m,1,41,3.0,12,1.0,0,52.0,0,4.0,52.0
99,Finance,Master's & above,m,1,54,5.0,13,0.0,0,59.0,0,5.0,59.0
100,Operations,Bachelor's,m,1,31,5.0,4,1.0,0,63.0,1,6.0,63.0
101,Operations,Bachelor's,f,1,37,3.0,11,0.0,0,57.0,0,3.0,57.0
102,Analytics,Bachelor's,m,1,39,3.0,4,1.0,0,83.0,0,4.0,130.5
103,Sales & Marketing,Bachelor's,m,1,40,5.0,8,1.0,0,54.0,0,6.0,54.0
104,Sales & Marketing,Master's & above,m,1,42,5.0,4,0.0,0,50.0,0,5.0,50.0
105,Operations,Bachelor's,m,1,35,4.0,6,1.0,0,57.0,1,5.0,57.0
106,Operations,Master's & above,f,1,41,4.0,6,1.0,0,62.0,0,5.0,62.0
107,Procurement,Bachelor's,f,1,23,3.0,2,0.0,0,73.0,0,3.0,73.0
108,Sales & Marketing,Bachelor's,m,1,31,3.0,4,0.0,0,50.0,0,3.0,100.0
109,Analytics,Master's & above,m,1,42,2.0,13,0.0,0,79.0,0,2.0,79.0
110,Sales & Marketing,Bachelor's,m,1,29,4.0,2,0.0,0,49.0,0,4.0,130.5
111,HR,Bachelor's,f,1,30,3.0,1,1.0,0,54.0,0,,54.0
112,Operations,Bachelor's,m,1,41,4.0,6,1.0,0,63.0,0,5.0,63.0
113,Sales & Marketing,Bachelor's,f,1,40,3.0,2,1.0,0,90.0,1,4.0,90.0
114,Sales & Marketing,Bachelor's,m,1,34,5.0,5,0.0,0,49.0,0,5.0,49.0
115,Sales & Marketing,Bachelor's,f,1,31,4.0,2,0.0,0,46.0,0,4.0,46.0
116,Technology,Bachelor's,m,1,27,5.0,2,0.0,0,86.0,1,5.0,86.0
117,Procurement,Bachelor's,m,1,30,3.0,2,0.0,0,72.0,0,3.0,130.5
118,Procurement,Bachelor's,f,1,27,4.0,4,1.0,0,72.0,1,5.0,72.0
119,Technology,Bachelor's,m,1,36,4.0,7,0.0,0,82.0,0,4.0,130.5
120,Technology,Bachelor's,m,1,35,4.0,6,0.0,0,77.0,0,4.0,77.0
121,Sales & Marketing,Master's & above,m,1,34,5.0,7,1.0,0,51.0,1,6.0,51.0
122,Procurement,Master's & above,m,1,37,5.0,3,0.0,0,92.0,1,6.0,92.0
123,Operations,Bachelor's,f,1,27,3.0,1,1.0,0,58.0,0,,58.0
124,Procurement,Master's & above,m,1,47,3.0,5,1.0,0,71.0,0,4.0,130.5
125,Analytics,Bachelor's,m,1,28,3.0,1,1.0,0,83.0,0,,83.0
126,Procurement,Master's & above,f,1,40,5.0,5,0.0,0,68.0,0,5.0,68.0
127,Sales & Marketing,Bachelor's,f,1,30,3.0,1,0.0,0,50.0,0,,50.0
128,Operations,Master's & above,m,1,38,5.0,9,1.0,0,61.0,0,6.0,61.0
129,Sales & Marketing,Bachelor's,m,1,30,3.0,2,0.0,0,47.0,0,3.0,47.0
130,Sales & Marketing,Bachelor's,f,1,28,5.0,3,0.0,0,46.0,0,5.0,46.0
131,Procurement,Bachelor's,m,1,28,5.0,4,1.0,0,67.0,0,6.0,130.5
132,Operations,Bachelor's,m,1,35,4.0,7,0.0,0,58.0,0,4.0,58.0
133,Analytics,Bachelor's,m,1,32,3.0,8,0.0,0,89.0,1,3.0,89.0
134,Sales & Marketing,Master's & above,m,1,36,5.0,8,0.0,0,50.0,0,5.0,50.0
135,Operations,Bachelor's,m,1,24,3.0,1,1.0,0,56.0,0,,56.0
136,Technology,Bachelor's,m,1,27,3.0,4,1.0,0,78.0,0,4.0,78.0
137,Finance,Master's & above,m,1,34,3.0,7,0.0,0,56.0,0,3.0,112.0
138,Technology,Bachelor's,f,1,31,4.0,4,1.0,0,78.0,0,6.0,78.0
139,Technology,Bachelor's,f,1,30,4.0,2,0.0,0,77.0,0,4.0,77.0
140,Technology,Bachelor's,f,1,30,3.0,7,1.0,0,76.0,0,5.0,130.5
141,Finance,Bachelor's,m,1,31,3.0,1,1.0,0,56.0,0,,56.0
142,Analytics,Bachelor's,m,1,30,5.0,3,1.0,0,84.0,0,6.0,84.0
143,Finance,Bachelor's,m,1,28,3.0,2,0.0,0,57.0,0,3.0,57.0
144,Technology,Bachelor's,m,1,28,3.0,5,0.0,0,81.0,0,3.0,130.5
145,Sales & Marketing,Bachelor's,m,1,29,3.0,2,0.0,0,51.0,0,3.0,51.0
146,Sales & Marketing,Master's & above,m,1,46,3.0,11,1.0,0,51.0,0,4.0,51.0
147,Technology,Bachelor's,m,1,31,5.0,4,1.0,0,80.0,0,6.0,80.0
148,Procurement,Bachelor's,m,1,28,1.5,4,0.0,0,72.0,0,1.0,72.0
149,Sales & Marketing,Master's & above,m,1,31,4.0,6,0.0,0,50.0,0,4.0,50.0
150,HR,Master's & above,f,1,37,3.0,9,0.0,0,48.0,0,3.0,48.0
151,Technology,Bachelor's,f,1,34,5.0,8,0.0,0,88.0,1,5.0,130.5
152,Procurement,Bachelor's,m,1,25,5.0,3,1.0,0,70.0,1,6.0,70.0
153,Operations,Master's & above,m,1,40,4.0,4,1.0,0,57.0,0,5.0,57.0
154,Operations,Master's & above,m,1,43,3.0,7,1.0,0,56.0,1,4.0,56.0
155,Operations,Bachelor's,m,1,36,1.5,5,0.0,0,56.0,0,1.0,56.0
156,Legal,Bachelor's,m,1,29,3.0,3,0.0,0,63.0,0,3.0,63.0
157,Finance,Bachelor's,m,1,35,3.0,2,0.0,0,56.0,0,3.0,112.0
158,Analytics,Master's & above,m,1,34,5.0,2,0.0,0,84.0,0,5.0,84.0
159,Sales & Marketing,Bachelor's,f,1,32,4.0,4,1.0,0,45.0,0,5.0,45.0
160,HR,Bachelor's,m,1,27,3.0,1,1.0,0,50.0,0,,50.0
161,Technology,Bachelor's,m,1,29,3.0,5,0.0,0,75.0,0,3.0,75.0
162,Sales & Marketing,Bachelor's,m,1,34,1.5,4,0.0,0,48.0,0,1.0,48.0
163,Procurement,Master's & above,m,1,37,5.0,7,1.0,0,70.0,0,6.0,70.0
164,Procurement,Bachelor's,f,1,33,3.0,3,1.0,0,73.0,0,4.0,73.0
165,Procurement,Master's & above,f,1,33,5.0,4,1.0,0,67.0,0,6.0,67.0
166,Sales & Marketing,Bachelor's,f,1,39,1.5,8,0.0,0,45.0,0,1.0,45.0
167,Technology,Master's & above,m,1,34,4.0,7,0.0,0,82.0,0,4.0,82.0
168,Technology,Bachelor's,m,1,32,4.0,6,0.0,0,84.0,0,4.0,130.5
169,Sales & Marketing,Master's & above,m,1,34,4.0,6,0.0,0,53.0,0,4.0,53.0
170,Finance,Bachelor's,m,1,29,5.0,6,1.0,0,61.0,0,6.0,61.0
171,Sales & Marketing,Bachelor's,m,1,28,1.5,2,0.0,0,50.0,0,1.0,100.0
172,Technology,Bachelor's,f,1,28,2.0,5,0.0,0,75.0,0,2.0,75.0
173,Procurement,Master's & above,f,1,35,3.0,9,0.0,0,70.0,0,3.0,130.5
174,Technology,Bachelor's,f,1,40,3.0,3,0.0,0,86.0,0,3.0,130.5
175,Sales & Marketing,Bachelor's,f,1,27,2.0,4,0.0,0,54.0,0,2.0,108.0
176,Procurement,Bachelor's,f,1,26,3.0,3,1.0,0,70.0,0,4.0,130.5
177,Operations,Bachelor's,m,1,43,2.0,12,0.0,0,57.0,0,2.0,57.0
178,Finance,Bachelor's,m,1,23,3.0,1,0.0,0,61.0,0,,61.0
179,Analytics,Bachelor's,m,1,29,5.0,6,1.0,0,84.0,0,6.0,84.0
180,Sales & Marketing,Bachelor's,m,1,43,3.0,13,0.0,0,51.0,0,3.0,51.0
181,Sales & Marketing,Bachelor's,m,1,27,4.0,4,0.0,0,49.0,0,4.0,130.5
182,Procurement,Bachelor's,m,1,26,4.0,4,1.0,0,70.0,0,5.0,70.0
183,Procurement,Bachelor's,f,1,31,5.0,5,1.0,0,72.0,0,6.0,72.0
184,Operations,Bachelor's,m,1,40,4.0,11,0.0,0,58.0,0,4.0,58.0
185,Operations,Bachelor's,f,1,39,5.0,12,1.0,0,55.0,0,6.0,110.0
186,Operations,Bachelor's,f,1,30,3.0,6,0.0,0,57.0,0,3.0,114.0
187,Technology,Master's & above,m,1,47,4.0,4,1.0,0,77.0,0,5.0,77.0
188,Sales & Marketing,Bachelor's,m,1,34,4.0,7,1.0,0,48.0,1,5.0,48.0
189,Operations,Bachelor's,f,1,33,4.0,9,0.0,0,64.0,0,4.0,64.0
190,Sales & Marketing,Master's & above,m,1,41,5.0,7,0.0,0,51.0,0,5.0,51.0
191,Technology,Bachelor's,m,1,29,1.5,4,0.0,0,80.0,0,1.0,80.0
192,Analytics,Bachelor's,f,1,32,3.0,4,0.0,0,86.0,0,3.0,86.0
193,Procurement,Master's & above,f,1,47,5.0,9,0.0,0,68.0,0,5.0,68.0
194,Operations,Bachelor's,m,1,35,4.0,3,0.0,0,65.0,0,4.0,65.0
195,Technology,Bachelor's,m,1,27,4.0,2,0.0,0,75.0,0,4.0,75.0
196,Analytics,Bachelor's,m,1,29,1.5,3,0.0,0,81.0,0,1.0,81.0
197,Sales & Marketing,Bachelor's,m,1,36,3.0,9,0.0,0,49.0,0,3.0,98.0
198,Sales & Marketing,Bachelor's,m,1,35,1.5,8,0.0,0,39.0,0,1.0,78.0
199,Procurement,Bachelor's,f,1,34,3.0,2,0.0,0,70.0,0,3.0,130.5
200,Sales & Marketing,Master's & above,f,1,34,4.0,5,1.0,0,94.0,1,6.0,94.0
201,Operations,Master's & above,m,1,39,3.0,2,1.0,0,60.0,0,4.0,60.0
202,Sales & Marketing,Bachelor's,m,1,26,5.0,2,1.0,0,51.0,0,6.0,51.0
203,Operations,Bachelor's,f,1,30,5.0,4,0.0,0,56.0,0,5.0,56.0
204,Operations,Bachelor's,f,1,31,4.0,2,0.0,0,62.0,0,4.0,62.0
205,HR,Master's & above,m,1,44,5.0,6,0.0,0,48.0,0,5.0,48.0
206,Sales & Marketing,Bachelor's,m,1,38,3.0,4,1.0,0,49.0,0,4.0,49.0
207,Technology,Bachelor's,m,1,40,1.5,3,0.0,0,78.0,0,1.0,78.0
208,Legal,Master's & above,m,1,50,5.0,6,0.0,0,58.0,0,6.0,58.0
209,Procurement,Master's & above,m,1,44,3.0,12,0.0,0,70.0,0,3.0,70.0
210,Procurement,Below Secondary,f,1,23,1.5,2,0.0,0,69.0,0,1.0,69.0
211,Sales & Marketing,Master's & above,f,1,36,1.5,2,0.0,0,53.0,0,1.0,53.0
212,Analytics,Bachelor's,m,1,25,1.5,4,0.0,0,80.0,0,1.0,80.0
213,Operations,Bachelor's,m,1,34,5.0,4,1.0,0,58.0,0,6.0,58.0
214,Analytics,Bachelor's,m,1,28,3.0,1,0.0,0,85.0,0,,85.0
215,Analytics,Bachelor's,m,1,30,5.0,6,1.0,0,81.0,0,6.0,130.5
216,Procurement,Bachelor's,m,1,35,1.5,8,0.0,0,67.0,0,1.0,67.0
217,Analytics,Bachelor's,m,1,33,4.0,8,0.0,0,86.0,0,4.0,86.0
218,Analytics,Master's & above,m,1,30,3.0,4,1.0,0,80.0,0,4.0,80.0
219,Analytics,Bachelor's,m,1,27,5.0,3,1.0,0,85.0,0,6.0,130.5
220,Procurement,Bachelor's,m,1,29,3.0,1,0.0,0,68.0,0,,130.5
221,Operations,Bachelor's,m,1,43,3.0,3,0.0,0,58.0,0,3.0,58.0
222,Analytics,Bachelor's,m,1,28,3.0,5,1.0,0,86.0,0,4.0,130.5
223,Procurement,Bachelor's,m,1,31,5.0,3,1.0,0,68.0,0,6.0,68.0
224,Operations,Bachelor's,f,1,43,4.0,12,0.0,0,58.0,0,4.0,58.0
225,Operations,Bachelor's,f,1,35,5.0,9,1.0,0,60.0,0,6.0,60.0
226,Sales & Marketing,Bachelor's,m,1,35,3.0,9,0.0,0,49.0,0,3.0,98.0
227,Operations,Master's & above,m,1,50,3.0,8,1.0,0,59.0,0,4.0,59.0
228,HR,Bachelor's,f,1,26,4.0,3,0.0,0,50.0,0,4.0,50.0
229,Sales & Marketing,Bachelor's,m,1,32,3.0,5,1.0,0,52.0,0,4.0,52.0
230,Operations,Master's & above,f,1,38,5.0,2,1.0,0,93.0,1,7.0,93.0
231,Sales & Marketing,Bachelor's,m,1,22,4.0,2,0.0,0,51.0,0,4.0,51.0
232,HR,Bachelor's,m,1,28,3.0,1,1.0,0,52.0,0,,52.0
233,Procurement,Bachelor's,f,1,37,3.0,9,0.0,0,69.0,0,3.0,69.0
234,Analytics,Bachelor's,m,1,54,3.0,9,1.0,0,86.0,0,4.0,130.5
235,Sales & Marketing,Bachelor's,m,1,36,3.0,8,0.0,0,51.0,0,3.0,51.0
236,Technology,Bachelor's,m,1,35,3.0,8,0.0,0,78.0,0,3.0,78.0
237,Analytics,Bachelor's,m,1,39,3.0,4,1.0,0,85.0,0,4.0,85.0
238,Operations,Bachelor's,f,1,31,5.0,4,1.0,0,63.0,0,6.0,63.0
239,Operations,Bachelor's,m,1,38,3.0,7,1.0,0,60.0,0,5.0,120.0
240,Sales & Marketing,Bachelor's,m,1,28,1.5,2,0.0,0,48.0,0,1.0,48.0
241,Sales & Marketing,Bachelor's,m,1,26,2.0,3,0.0,0,52.0,0,2.0,130.5
242,Sales & Marketing,Bachelor's,m,1,29,3.0,1,0.0,0,54.0,0,,54.0
243,Analytics,Bachelor's,m,1,30,3.0,4,0.0,0,84.0,0,3.0,84.0
244,Operations,Bachelor's,m,1,37,2.0,4,1.0,0,57.0,1,3.0,114.0
245,R&D,Bachelor's,m,1,25,3.0,1,1.0,0,76.0,0,,76.0
246,Technology,Bachelor's,m,1,26,4.0,2,0.0,0,82.0,0,4.0,82.0
247,Technology,Bachelor's,m,1,31,4.0,4,0.0,0,78.0,0,4.0,78.0
248,Technology,Bachelor's,f,1,38,5.0,7,1.0,0,82.0,0,6.0,82.0
249,Sales & Marketing,Bachelor's,m,1,39,4.0,9,0.0,0,49.0,0,4.0,49.0
250,Sales & Marketing,Bachelor's,m,1,30,5.0,4,0.0,0,50.0,0,6.0,50.0
251,Procurement,Master's & above,f,1,34,5.0,8,1.0,0,67.0,0,6.0,67.0
252,Procurement,Master's & above,f,1,33,3.0,5,1.0,0,72.0,0,4.0,72.0
253,Technology,Bachelor's,f,1,29,5.0,3,1.0,0,78.0,0,6.0,78.0
254,Operations,Bachelor's,m,1,28,4.0,2,1.0,0,61.0,0,5.0,61.0
255,Finance,Bachelor's,m,1,24,3.0,1,0.0,0,56.0,0,,56.0
256,Analytics,Bachelor's,m,1,26,4.0,2,1.0,0,87.0,0,5.0,130.5
257,Legal,Bachelor's,m,1,34,5.0,4,0.0,0,64.0,0,5.0,64.0
258,Sales & Marketing,Bachelor's,m,1,35,3.0,7,0.0,0,46.0,0,3.0,46.0
259,Technology,Master's & above,m,1,43,3.0,13,0.0,0,79.0,0,3.0,79.0
260,Sales & Marketing,Bachelor's,m,1,34,1.5,8,0.0,0,39.0,0,1.0,39.0
261,Technology,Master's & above,f,1,38,3.0,10,0.0,0,88.0,0,3.0,130.5
262,Operations,Bachelor's,f,1,34,1.5,5,0.0,0,54.0,0,1.0,54.0
263,Operations,Bachelor's,m,1,41,4.0,4,0.0,0,63.0,0,4.0,63.0
264,Finance,Bachelor's,m,1,29,1.5,4,0.0,0,61.0,0,1.0,122.0
265,Operations,Bachelor's,m,1,33,4.0,3,0.0,0,61.0,0,4.0,61.0
266,Sales & Marketing,Master's & above,f,1,41,4.0,5,1.0,0,48.0,0,5.0,48.0
267,Operations,Master's & above,m,1,38,3.0,11,0.0,0,57.0,0,3.0,130.5
268,Procurement,Master's & above,f,1,54,4.0,13,0.0,0,66.0,0,4.0,130.5
269,Sales & Marketing,Master's & above,f,1,34,2.0,8,0.0,0,49.0,0,2.0,98.0
270,R&D,Bachelor's,m,1,26,5.0,3,1.0,0,87.0,0,6.0,130.5
271,Operations,Bachelor's,f,1,35,5.0,3,0.0,0,59.0,0,5.0,59.0
272,Legal,Below Secondary,m,1,28,3.0,1,0.0,0,62.0,0,,62.0
273,Operations,Master's & above,m,1,36,3.0,4,0.0,0,60.0,0,3.0,60.0
274,Technology,Bachelor's,m,1,45,3.0,13,0.0,0,87.0,0,3.0,87.0
275,Procurement,Master's & above,m,1,38,4.0,7,0.0,0,66.0,0,4.0,66.0
276,Sales & Marketing,Bachelor's,f,1,26,2.0,4,0.0,0,47.0,0,2.0,47.0
277,Analytics,Bachelor's,m,1,31,3.0,4,0.0,0,85.0,0,3.0,85.0
278,Analytics,Bachelor's,m,1,32,3.0,7,0.0,0,87.0,0,3.0,87.0
279,Analytics,Bachelor's,m,1,29,4.0,4,0.0,0,78.0,0,4.0,78.0
280,Sales & Marketing,Bachelor's,f,1,40,3.0,12,0.0,0,50.0,0,3.0,50.0
281,Technology,Bachelor's,m,1,29,4.0,6,0.0,0,75.0,0,4.0,130.5
282,Analytics,Bachelor's,m,1,31,5.0,7,1.0,0,87.0,0,6.0,130.5
283,Finance,Bachelor's,m,1,32,5.0,6,1.0,0,58.0,0,6.0,58.0
284,Operations,Bachelor's,m,1,42,5.0,11,0.0,0,67.0,0,5.0,67.0
285,Procurement,Bachelor's,f,1,30,5.0,3,1.0,0,65.0,0,6.0,65.0
286,Procurement,Bachelor's,f,1,24,3.0,2,1.0,0,70.0,0,4.0,70.0
287,Sales & Marketing,Bachelor's,m,1,35,3.0,7,0.0,0,56.0,0,3.0,56.0
288,Technology,Bachelor's,f,1,32,1.5,3,0.0,0,80.0,0,1.0,130.5
289,HR,Bachelor's,f,1,22,3.0,2,0.0,0,47.0,0,3.0,47.0
290,Sales & Marketing,Bachelor's,m,1,44,5.0,13,0.0,0,48.0,0,5.0,96.0
291,Operations,Bachelor's,m,1,39,3.0,9,0.0,0,58.0,0,3.0,116.0
292,Technology,Bachelor's,f,1,46,4.0,13,0.0,0,85.0,0,4.0,85.0
293,Technology,Bachelor's,m,1,29,2.0,5,0.0,0,77.0,0,2.0,77.0
294,Finance,Bachelor's,m,1,26,1.5,3,0.0,0,59.0,0,1.0,59.0
295,Operations,Bachelor's,m,1,35,4.0,5,0.0,0,61.0,0,4.0,61.0
296,Procurement,Bachelor's,f,1,29,4.0,2,1.0,0,95.0,1,5.0,95.0
297,Technology,Bachelor's,m,1,30,2.0,9,0.0,0,79.0,0,2.0,79.0
298,Sales & Marketing,Bachelor's,m,1,45,4.0,5,0.0,0,50.0,0,4.0,50.0
299,Sales & Marketing,Bachelor's,f,1,30,1.5,6,0.0,0,47.0,0,1.0,47.0
