employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
57963,Procurement,region_6,Bachelor's,m,sourcing,1,35,4.0,3,0,0,72,0
27251,Technology,region_7,Master's & above,m,sourcing,1,31,4.0,5,0,0,82,0
8794,Operations,region_26,Bachelor's,f,other,1,36,5.0,9,1,0,56,0
48873,Procurement,region_2,Master's & above,m,sourcing,1,47,3.0,17,1,0,66,0
73645,Sales & Marketing,region_34,Bachelor's,m,other,1,28,4.0,4,1,1,97,1
34739,Finance,region_7,Bachelor's,m,sourcing,2,26,3.0,3,0,0,57,0
64130,Procurement,region_16,Bachelor's,m,other,1,27,1.0,2,0,0,67,0
36953,Analytics,region_9,Bachelor's,m,sourcing,1,29,4.0,3,1,0,83,0
13694,Operations,region_2,Master's & above,m,other,1,36,3.0,9,0,0,57,0
61818,Sales & Marketing,region_15,,m,sourcing,1,25,5.0,2,0,0,50,0
7449,Analytics,region_1,Bachelor's,m,other,1,27,5.0,2,0,0,87,0
47369,Sales & Marketing,region_2,Master's & above,m,other,1,45,4.0,15,0,0,92,1
742,Technology,region_22,Bachelor's,m,other,1,26,,1,1,0,80,1
4320,Sales & Marketing,region_2,Bachelor's,f,other,1,45,3.0,5,0,0,46,0
49076,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,40,2.0,15,0,0,49,0
41181,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,35,4.0,10,0,0,47,0
66889,Analytics,region_20,Master's & above,m,sourcing,1,38,5.0,12,0,0,88,0
65761,Sales & Marketing,region_28,Bachelor's,m,other,1,23,,1,0,0,51,0
51445,Procurement,region_15,Master's & above,m,sourcing,1,54,3.0,23,0,0,70,0
43775,Operations,region_15,Bachelor's,f,other,1,44,5.0,3,1,0,57,0
2137,Technology,region_27,Master's & above,f,sourcing,2,41,3.0,4,0,0,75,0
5655,Procurement,region_29,Master's & above,m,other,2,34,4.0,3,1,0,74,0
31575,Procurement,region_7,Bachelor's,f,other,1,34,5.0,6,1,0,67,0
32946,Technology,region_22,Bachelor's,m,other,3,32,4.0,7,0,0,82,0
18479,HR,region_30,Bachelor's,m,sourcing,1,28,3.0,4,1,0,49,0
10901,Procurement,region_22,Bachelor's,m,other,1,28,2.0,2,0,0,70,0
38175,Procurement,region_5,Bachelor's,f,other,1,36,3.0,10,1,0,66,0
8334,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,33,2.0,5,1,0,48,0
54121,Technology,region_2,Master's & above,m,sourcing,1,55,2.0,21,0,0,83,0
34347,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,44,4.0,4,1,0,46,0
65979,HR,region_13,Master's & above,f,other,1,34,4.0,3,0,0,47,0
61007,Sales & Marketing,region_15,Bachelor's,m,other,1,40,5.0,7,1,0,43,0
14065,Finance,region_11,Bachelor's,m,other,1,31,4.0,4,0,0,61,0
2611,Analytics,region_29,Bachelor's,m,sourcing,1,26,5.0,3,1,0,84,0
43998,Sales & Marketing,region_15,,m,other,1,42,3.0,13,0,0,52,0
2731,Sales & Marketing,region_2,Bachelor's,m,other,1,39,1.0,13,0,0,52,0
34267,Technology,region_6,Bachelor's,f,other,1,26,3.0,3,0,0,76,0
48575,Operations,region_15,Bachelor's,m,other,1,33,3.0,2,0,0,58,0
33435,Operations,region_29,Bachelor's,m,other,1,34,2.0,3,1,0,59,0
21486,Sales & Marketing,region_22,Master's & above,f,sourcing,1,36,1.0,7,0,0,54,0
34029,Sales & Marketing,region_17,Master's & above,m,other,2,38,4.0,7,0,0,47,0
73579,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,22,3.0,2,1,0,49,0
50318,Operations,region_2,Master's & above,m,sourcing,2,40,5.0,10,1,0,60,0
22912,Sales & Marketing,region_6,Bachelor's,m,sourcing,2,33,1.0,5,0,0,48,0
64082,Operations,region_25,Bachelor's,m,sourcing,1,28,3.0,3,0,0,62,0
33786,Technology,region_4,Bachelor's,m,sourcing,3,31,3.0,5,0,0,86,0
72486,Operations,region_2,Bachelor's,m,other,1,24,,1,1,0,57,0
70139,Operations,region_22,Bachelor's,m,other,1,44,4.0,7,0,0,56,0
55000,Sales & Marketing,region_7,Bachelor's,m,other,2,40,1.0,5,0,0,46,0
76312,Analytics,region_13,Bachelor's,m,other,1,26,4.0,4,0,0,83,0
53006,Operations,region_14,Master's & above,f,other,1,40,5.0,6,1,0,59,0
2458,HR,region_31,Bachelor's,m,other,1,33,2.0,3,1,0,49,0
45041,Procurement,region_26,Bachelor's,f,sourcing,1,35,3.0,6,0,0,71,0
48711,Operations,region_15,Bachelor's,f,sourcing,1,33,3.0,5,0,0,58,0
60223,Operations,region_2,Bachelor's,m,sourcing,1,36,3.0,5,1,0,61,0
2257,R&D,region_4,Master's & above,m,other,1,36,4.0,10,1,0,86,1
4747,Technology,region_22,Master's & above,m,referred,3,36,3.0,7,1,0,80,1
4794,Sales & Marketing,region_27,Bachelor's,m,other,1,32,5.0,4,1,0,55,1
66728,Technology,region_28,Bachelor's,m,other,1,29,3.0,4,1,0,74,1
25378,Sales & Marketing,region_13,Master's & above,m,other,2,40,3.0,14,0,0,49,0
25865,Procurement,region_2,Master's & above,f,sourcing,2,47,3.0,6,1,0,69,0
2474,Operations,region_2,Bachelor's,f,sourcing,2,42,4.0,12,0,0,61,0
21021,Sales & Marketing,region_10,Bachelor's,m,other,1,25,3.0,2,0,0,49,0
66446,Sales & Marketing,region_11,Bachelor's,m,sourcing,2,29,1.0,6,0,0,49,0
38509,Sales & Marketing,region_24,Bachelor's,m,other,1,40,3.0,9,0,0,50,0
26145,Sales & Marketing,region_19,Bachelor's,m,sourcing,2,25,4.0,2,0,0,49,0
62962,Operations,region_2,Master's & above,f,other,1,55,5.0,11,1,0,85,1
10641,Operations,region_27,Bachelor's,m,other,1,46,4.0,4,0,0,59,0
7332,Operations,region_2,Bachelor's,f,sourcing,1,37,2.0,7,0,0,57,0
62880,Sales & Marketing,region_1,Master's & above,m,sourcing,1,29,3.0,5,0,0,56,0
55024,Operations,region_2,Bachelor's,f,other,2,56,3.0,8,0,0,60,0
20197,Sales & Marketing,region_13,Master's & above,m,other,1,36,2.0,5,0,0,49,0
77659,Sales & Marketing,region_27,Bachelor's,f,sourcing,1,30,,1,0,0,45,0
19993,Operations,region_2,,f,other,1,40,3.0,8,0,0,59,0
47026,Procurement,region_26,Bachelor's,f,sourcing,1,32,,1,1,0,68,0
5546,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,29,5.0,5,1,0,46,0
67322,Technology,region_4,Bachelor's,m,other,2,32,4.0,2,1,0,80,0
1313,Analytics,region_7,Bachelor's,m,other,1,32,4.0,3,0,0,90,0
41245,Sales & Marketing,region_15,Bachelor's,f,other,2,28,1.0,6,0,0,46,0
13208,Procurement,region_7,Bachelor's,m,other,1,31,5.0,3,1,0,72,0
26320,Sales & Marketing,region_2,,f,sourcing,3,25,,1,0,0,50,0
26548,Sales & Marketing,region_22,Bachelor's,m,other,1,52,3.0,14,0,0,45,0
10994,Operations,region_16,Master's & above,f,other,1,40,3.0,11,1,0,56,0
22849,Procurement,region_22,Bachelor's,f,other,2,32,3.0,6,0,0,66,0
15806,HR,region_2,Master's & above,f,sourcing,1,51,3.0,16,0,0,51,0
29803,Sales & Marketing,region_2,Master's & above,m,sourcing,3,43,1.0,13,0,0,48,0
77800,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,35,3.0,10,0,0,49,0
15485,Procurement,region_22,Master's & above,f,other,1,31,1.0,2,0,0,71,0
4344,Finance,region_2,Bachelor's,m,sourcing,1,30,5.0,2,1,0,57,0
61602,Sales & Marketing,region_14,Bachelor's,m,other,1,30,1.0,3,0,0,50,0
51878,Analytics,region_22,,m,other,1,27,5.0,3,1,0,86,0
43613,Analytics,region_2,Master's & above,m,sourcing,2,40,5.0,12,0,0,86,0
38327,Operations,region_16,Bachelor's,f,sourcing,1,30,,1,0,0,61,0
6058,Analytics,region_2,Bachelor's,m,sourcing,1,43,2.0,13,0,0,80,0
25011,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,32,,1,1,0,47,0
11758,Technology,region_33,Bachelor's,f,other,1,26,4.0,3,0,0,80,0
51207,Procurement,region_2,Bachelor's,m,sourcing,1,41,2.0,9,0,0,69,0
52133,HR,region_2,Bachelor's,m,sourcing,1,50,3.0,23,0,0,48,0
53306,Operations,region_19,Bachelor's,m,other,1,32,5.0,7,1,0,55,0
17749,Finance,region_16,Bachelor's,m,sourcing,1,32,3.0,7,0,0,57,0
67704,Sales & Marketing,region_2,Bachelor's,m,other,1,38,3.0,9,1,0,50,0
12783,Technology,region_13,Master's & above,m,other,2,37,2.0,8,0,0,82,0
21618,Sales & Marketing,region_26,Bachelor's,m,other,1,31,5.0,4,0,0,50,0
17675,HR,region_2,Bachelor's,m,other,1,45,4.0,2,0,0,44,0
3141,Operations,region_2,Master's & above,m,sourcing,2,46,5.0,18,1,0,60,0
46586,Procurement,region_2,Master's & above,f,other,1,42,3.0,13,0,0,67,0
37606,HR,region_31,Bachelor's,m,sourcing,1,26,1.0,2,0,0,51,0
57060,Technology,region_15,Master's & above,m,other,1,41,5.0,13,1,0,80,1
11034,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,53,1.0,3,0,0,49,0
44185,Procurement,region_2,Bachelor's,m,other,1,55,2.0,3,0,0,70,0
40014,Operations,region_31,Bachelor's,m,other,1,31,4.0,4,0,0,61,0
44173,Operations,region_22,Master's & above,m,other,2,32,5.0,5,1,0,60,0
1355,Operations,region_22,Bachelor's,m,other,2,23,,1,1,0,61,0
42968,Technology,region_13,Master's & above,m,other,1,48,1.0,17,0,0,80,0
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,0,50,0
65969,Analytics,region_2,Bachelor's,m,other,1,42,3.0,11,0,0,82,0
2668,Sales & Marketing,region_15,Bachelor's,m,other,2,30,3.0,5,0,1,47,0
21217,Operations,region_8,Bachelor's,f,other,1,31,3.0,5,1,0,55,0
73771,Analytics,region_9,,m,sourcing,2,33,3.0,6,0,0,85,0
52989,Analytics,region_22,,m,other,2,29,4.0,7,0,0,84,0
49586,Operations,region_2,Bachelor's,m,other,1,30,5.0,4,1,0,55,0
20176,Analytics,region_2,Master's & above,m,sourcing,1,35,3.0,10,0,0,78,0
63814,Procurement,region_2,Master's & above,m,other,1,59,5.0,22,1,0,66,0
42629,Analytics,region_32,Bachelor's,m,other,1,28,,1,0,0,84,0
24162,R&D,region_30,Bachelor's,f,sourcing,1,32,4.0,3,1,0,85,0
62406,Operations,region_31,Bachelor's,m,other,1,46,3.0,16,0,0,63,0
25528,Finance,region_2,Bachelor's,f,other,1,42,3.0,12,0,0,64,0
53149,Sales & Marketing,region_2,,f,sourcing,1,38,4.0,3,0,0,52,0
8896,Procurement,region_4,Master's & above,f,sourcing,1,33,5.0,2,1,1,68,1
28017,Procurement,region_19,Bachelor's,m,sourcing,1,30,3.0,9,0,0,71,0
17223,Technology,region_22,Bachelor's,f,other,2,30,4.0,3,0,0,83,0
14510,HR,region_7,Bachelor's,m,sourcing,1,33,4.0,5,0,0,55,1
43251,Technology,region_7,Bachelor's,m,sourcing,1,33,2.0,6,0,0,79,0
73220,Finance,region_2,Bachelor's,m,sourcing,3,30,3.0,7,0,0,57,0
62653,Operations,region_20,Master's & above,f,sourcing,1,33,5.0,5,1,0,62,0
45335,Sales & Marketing,region_7,Bachelor's,f,sourcing,2,36,3.0,3,0,0,46,0
58062,Finance,region_2,Master's & above,f,other,1,43,4.0,15,0,0,63,0
11349,Sales & Marketing,region_26,Bachelor's,m,other,2,25,3.0,2,0,0,45,0
43487,Sales & Marketing,region_15,,m,other,1,32,2.0,3,1,0,48,0
22865,Analytics,region_20,Master's & above,m,other,1,40,5.0,5,0,1,83,1
40499,R&D,region_25,Bachelor's,m,other,2,30,4.0,6,1,0,84,0
48348,Analytics,region_11,Bachelor's,m,other,3,31,3.0,2,1,0,77,0
54760,HR,region_3,Bachelor's,f,sourcing,1,30,5.0,4,1,0,47,0
56491,Analytics,region_32,Bachelor's,m,other,1,30,2.0,5,0,0,85,0
48723,Analytics,region_22,Bachelor's,m,other,1,30,5.0,5,1,0,82,0
19585,HR,region_14,Bachelor's,m,other,1,37,1.0,4,0,0,47,0
61909,Sales & Marketing,region_2,Bachelor's,f,other,1,45,2.0,16,0,0,46,0
59765,Sales & Marketing,region_7,,m,sourcing,1,36,1.0,4,0,0,49,0
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4.0,5,1,0,48,0
4901,Sales & Marketing,region_27,Bachelor's,m,other,2,37,1.0,4,0,0,49,0
32155,Procurement,region_13,Master's & above,f,sourcing,1,33,3.0,7,1,0,70,0
61283,Analytics,region_32,Bachelor's,m,sourcing,1,27,,1,0,0,85,0
32780,Finance,region_4,Bachelor's,m,other,2,32,3.0,2,0,0,55,0
7798,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,56,3.0,16,0,0,50,0
37834,Procurement,region_2,Master's & above,f,sourcing,2,43,3.0,15,0,0,68,0
61136,Operations,region_27,Bachelor's,m,sourcing,1,24,5.0,2,0,0,63,0
10684,Operations,region_4,Master's & above,m,other,1,43,5.0,5,1,0,67,0
5575,Sales & Marketing,region_10,Master's & above,m,other,1,48,4.0,17,0,0,46,0
62992,Operations,region_19,Bachelor's,f,other,1,35,2.0,9,1,0,59,0
39336,Technology,region_2,Master's & above,f,sourcing,1,35,3.0,8,0,0,79,0
25452,Analytics,region_28,Bachelor's,m,other,1,29,5.0,5,1,0,87,0
35990,Procurement,region_2,,f,other,2,38,5.0,8,1,0,71,0
64213,HR,region_7,Master's & above,f,other,1,32,4.0,8,1,0,46,0
76657,Operations,region_20,Bachelor's,m,other,1,31,1.0,8,0,0,59,0
51366,Analytics,region_30,Bachelor's,m,other,1,26,5.0,2,0,0,82,0
36772,Finance,region_7,Bachelor's,m,other,1,32,4.0,8,0,0,58,0
68158,HR,region_2,Master's & above,f,sourcing,1,43,1.0,7,0,0,51,0
48423,Analytics,region_4,Bachelor's,m,other,2,38,1.0,9,0,0,83,0
44112,Operations,region_2,Bachelor's,f,other,1,51,4.0,24,0,0,63,0
31672,Operations,region_6,Bachelor's,m,other,1,28,5.0,3,1,0,58,0
67472,Operations,region_19,Bachelor's,m,other,2,38,4.0,4,1,0,63,0
7529,HR,region_2,Bachelor's,m,sourcing,1,36,5.0,9,1,0,47,0
19704,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,36,3.0,4,1,0,51,0
17045,Operations,region_2,Master's & above,m,other,2,38,3.0,11,0,0,62,0
51424,Operations,region_2,Bachelor's,f,sourcing,1,28,,1,1,0,68,0
67907,R&D,region_2,Master's & above,m,other,3,36,3.0,4,0,0,84,0
12028,Sales & Marketing,region_2,,m,other,1,26,1.0,4,0,0,49,0
1588,Operations,region_15,Master's & above,m,other,1,59,4.0,4,1,0,56,0
17281,Operations,region_2,Below Secondary,m,sourcing,2,26,3.0,2,0,0,60,0
9462,Sales & Marketing,region_15,Bachelor's,m,other,1,38,2.0,6,0,0,50,0
50087,HR,region_2,Bachelor's,f,other,1,22,1.0,2,0,0,50,0
75985,Technology,region_23,Bachelor's,f,other,2,29,4.0,3,0,0,77,0
41369,Procurement,region_13,Bachelor's,m,sourcing,2,43,1.0,11,0,0,67,0
38956,Sales & Marketing,region_31,Bachelor's,m,other,1,31,4.0,5,0,0,49,0
65453,Sales & Marketing,region_22,Bachelor's,m,other,3,27,4.0,4,0,0,49,0
6303,Procurement,region_11,Master's & above,m,sourcing,1,35,5.0,8,1,0,68,0
37839,Sales & Marketing,region_16,Bachelor's,m,other,1,32,3.0,5,1,0,50,0
4974,Sales & Marketing,region_7,Master's & above,m,other,2,43,1.0,9,0,0,47,0
34271,Operations,region_4,Bachelor's,m,sourcing,2,33,3.0,7,0,0,58,0
59964,Operations,region_2,Bachelor's,f,other,2,31,5.0,3,0,0,59,0
71146,Procurement,region_2,Master's & above,f,sourcing,2,47,4.0,18,0,0,71,0
21856,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,36,3.0,5,0,0,52,0
44256,HR,region_22,Bachelor's,f,other,1,30,2.0,3,0,0,50,0
13701,Sales & Marketing,region_22,Master's & above,m,other,2,57,2.0,6,0,0,49,0
45211,Sales & Marketing,region_7,Bachelor's,f,other,1,28,2.0,2,0,0,55,0
63077,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,29,1.0,5,0,0,50,0
52248,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,28,3.0,5,1,0,49,0
7383,Operations,region_34,Master's & above,f,sourcing,1,35,3.0,6,0,0,58,0
65128,Operations,region_13,Bachelor's,m,sourcing,1,37,3.0,7,0,0,63,0
17882,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,55,3.0,7,1,0,49,1
3913,Operations,region_27,Bachelor's,m,other,1,36,5.0,7,1,0,57,1
34730,Operations,region_28,Bachelor's,m,other,1,28,5.0,3,0,0,61,0
20601,Analytics,region_2,,m,sourcing,1,28,5.0,8,0,0,87,0
46458,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,35,5.0,5,0,0,48,0
8867,Legal,region_27,Bachelor's,f,other,1,27,2.0,2,1,0,61,1
58810,Analytics,region_4,Master's & above,m,sourcing,1,34,3.0,6,0,0,80,0
52188,Sales & Marketing,region_2,,m,sourcing,1,21,,1,0,0,50,0
36866,Sales & Marketing,region_25,Master's & above,m,other,1,39,5.0,7,1,0,51,0
21708,Technology,region_12,Bachelor's,f,other,1,29,3.0,3,0,0,78,0
22493,Technology,region_2,Bachelor's,f,other,2,33,5.0,3,1,0,81,0
21101,Sales & Marketing,region_22,Master's & above,m,other,1,20,,1,0,0,46,0
29971,Operations,region_31,Master's & above,m,sourcing,1,36,2.0,7,0,0,59,0
45410,Analytics,region_24,Bachelor's,m,sourcing,1,29,3.0,2,0,0,81,0
14653,Procurement,region_29,Master's & above,f,sourcing,1,32,1.0,4,0,0,70,0
6791,Sales & Marketing,region_4,Master's & above,m,sourcing,1,37,5.0,7,1,0,50,0
15594,Technology,region_15,Bachelor's,f,sourcing,1,32,3.0,5,1,0,78,0
247,HR,region_2,Master's & above,f,other,1,45,3.0,4,0,0,46,0
8599,Legal,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,59,0
40519,Operations,region_13,Bachelor's,f,other,2,32,4.0,2,1,0,57,0
61174,Operations,region_22,Master's & above,m,sourcing,1,50,4.0,9,0,0,65,0
16771,Sales & Marketing,region_25,,m,sourcing,1,35,3.0,8,0,0,48,0
72661,Legal,region_12,Bachelor's,m,other,1,26,,1,0,0,59,0
26053,Procurement,region_31,Bachelor's,f,other,1,29,3.0,5,1,0,71,0
71932,Finance,region_32,Bachelor's,f,other,1,29,,1,0,0,54,0
5857,Operations,region_22,Bachelor's,f,sourcing,1,33,5.0,8,1,0,61,0
54396,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,25,,1,0,0,47,0
3587,Operations,region_33,Bachelor's,m,sourcing,1,27,4.0,5,0,0,55,0
59294,Procurement,region_2,Bachelor's,f,other,1,58,5.0,27,0,0,69,0
12416,Finance,region_2,Master's & above,m,other,1,42,4.0,11,0,0,60,0
45676,Operations,region_26,Bachelor's,m,other,1,29,5.0,4,0,0,56,0
53873,Analytics,region_2,Bachelor's,m,other,2,32,4.0,7,1,0,85,0
17484,Technology,region_27,Bachelor's,f,other,1,38,4.0,10,1,0,82,0
58382,Operations,region_2,Master's & above,m,other,1,42,5.0,7,1,0,62,0
63351,Procurement,region_20,Bachelor's,f,other,1,35,3.0,10,0,0,73,0
22021,Sales & Marketing,region_26,Bachelor's,m,other,1,26,2.0,5,0,0,50,0
28564,Finance,region_27,Bachelor's,f,other,1,25,4.0,3,0,0,61,0
1888,Sales & Marketing,region_4,Master's & above,m,sourcing,1,49,4.0,6,1,0,64,1
13122,Sales & Marketing,region_22,Bachelor's,m,other,1,43,2.0,2,1,0,50,0
73319,Operations,region_8,Bachelor's,m,sourcing,1,27,1.0,2,1,0,60,0
47085,Operations,region_23,Bachelor's,m,other,1,37,3.0,3,0,0,66,0
37844,Technology,region_31,Bachelor's,f,other,1,32,2.0,4,0,1,96,1
20367,Operations,region_15,Bachelor's,m,other,1,42,5.0,20,1,0,60,0
67160,Legal,region_22,Master's & above,m,other,1,34,3.0,3,0,0,61,0
39576,Sales & Marketing,region_15,Bachelor's,m,referred,1,32,5.0,7,0,0,50,0
767,Operations,region_22,Bachelor's,m,other,1,30,3.0,7,0,0,60,0
10016,Sales & Marketing,region_10,Master's & above,m,sourcing,1,52,2.0,9,0,0,47,0
19967,Technology,region_17,Bachelor's,f,sourcing,1,27,5.0,3,1,0,94,1
6190,Operations,region_32,Bachelor's,m,sourcing,1,30,4.0,2,0,0,63,0
10457,Technology,region_2,Master's & above,f,other,1,49,3.0,18,0,0,82,0
52822,Operations,region_15,Bachelor's,m,sourcing,1,49,5.0,7,1,0,58,0
12246,Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,23,1,0,74,0
37511,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,32,1.0,8,0,0,53,0
15544,Technology,region_2,Bachelor's,m,other,3,36,3.0,10,0,1,74,0
9310,Sales & Marketing,region_3,Bachelor's,m,other,1,34,1.0,2,0,1,57,0
65618,Operations,region_22,Bachelor's,f,other,1,30,3.0,4,1,0,57,0
33854,Procurement,region_15,Bachelor's,m,sourcing,1,31,1.0,6,0,0,71,0
28203,Operations,region_3,Master's & above,m,other,1,34,3.0,2,1,0,55,0
1917,Technology,region_7,Master's & above,m,sourcing,2,32,3.0,2,0,0,79,0
69646,Finance,region_22,Bachelor's,m,other,1,27,3.0,2,1,0,62,1
68823,Sales & Marketing,region_26,Bachelor's,m,other,1,34,1.0,4,0,0,51,0
46213,Sales & Marketing,region_28,Bachelor's,m,other,1,28,5.0,6,1,0,49,0
36945,Procurement,region_19,Bachelor's,f,other,1,34,5.0,7,0,0,97,1
43460,Finance,region_11,Bachelor's,m,sourcing,1,27,3.0,2,0,0,63,0
16057,Analytics,region_26,,m,sourcing,1,31,5.0,3,0,0,86,0
13581,Technology,region_25,Bachelor's,m,other,1,28,2.0,3,0,0,81,0
46337,Technology,region_13,Bachelor's,m,other,1,35,3.0,3,1,0,83,1
67744,R&D,region_8,Bachelor's,m,sourcing,1,31,4.0,3,0,0,84,0
60561,Sales & Marketing,region_16,Bachelor's,m,other,1,36,5.0,4,1,0,47,0
33818,Operations,region_16,Bachelor's,f,other,2,34,5.0,6,1,0,63,0
5181,Sales & Marketing,region_7,Master's & above,m,other,4,33,2.0,9,0,0,49,0
15913,Sales & Marketing,region_15,Master's & above,m,sourcing,1,29,3.0,6,0,0,51,0
29028,Sales & Marketing,region_11,Master's & above,m,sourcing,1,37,4.0,4,1,1,52,0
21185,Technology,region_16,Master's & above,m,other,1,40,3.0,5,0,0,77,0
75008,Sales & Marketing,region_33,Master's & above,m,other,2,40,3.0,9,0,0,52,0
47075,Technology,region_14,Master's & above,f,sourcing,1,34,4.0,7,1,0,79,0
15119,Finance,region_15,Bachelor's,m,sourcing,1,34,1.0,8,0,0,57,0
7373,Sales & Marketing,region_30,,m,other,1,32,1.0,5,0,0,49,0
48850,Operations,region_17,Bachelor's,f,other,1,30,5.0,4,0,0,60,0
2821,Analytics,region_29,Bachelor's,m,other,1,32,1.0,4,0,0,85,0
56498,Sales & Marketing,region_14,Master's & above,m,other,1,40,5.0,8,0,0,50,0
29304,Sales & Marketing,region_28,Bachelor's,m,other,2,26,1.0,2,0,0,45,0
50676,Sales & Marketing,region_2,Master's & above,m,sourcing,2,52,1.0,16,0,0,51,0
24448,Technology,region_2,Master's & above,m,sourcing,2,43,2.0,5,0,0,85,0
23059,Procurement,region_2,Bachelor's,m,other,1,28,,1,0,0,67,0
35615,Analytics,region_25,Bachelor's,m,sourcing,1,27,,1,0,0,85,0
419,Technology,region_26,Master's & above,f,sourcing,2,43,1.0,12,0,0,80,0
41352,Sales & Marketing,region_16,Master's & above,m,sourcing,2,31,1.0,6,0,0,52,0
21450,Procurement,region_13,Bachelor's,m,sourcing,1,33,2.0,7,0,0,65,0
48251,Technology,region_15,Bachelor's,m,sourcing,1,32,3.0,5,0,0,76,0
17252,Technology,region_33,Bachelor's,f,other,1,28,4.0,4,0,0,80,0
12516,HR,region_3,Master's & above,m,other,1,32,3.0,9,0,0,46,0
47116,Operations,region_17,Bachelor's,m,other,1,29,3.0,5,0,0,61,0
75740,Procurement,region_19,Bachelor's,m,other,1,50,4.0,7,1,0,74,0
72751,Technology,region_5,Bachelor's,m,referred,1,25,4.0,3,0,0,81,0
24754,Operations,region_15,,m,sourcing,1,33,5.0,2,0,0,56,0
5144,Technology,region_23,Bachelor's,m,sourcing,1,31,4.0,6,1,0,77,0
24716,HR,region_7,Below Secondary,f,other,1,26,,1,1,0,49,0
39088,Procurement,region_27,Master's & above,m,sourcing,1,41,3.0,4,0,0,76,0
13285,Technology,region_26,Bachelor's,m,other,1,38,3.0,7,0,0,81,0
46314,Sales & Marketing,region_28,Bachelor's,m,sourcing,2,27,1.0,6,0,0,50,0
26251,Sales & Marketing,region_8,Master's & above,m,sourcing,1,42,5.0,11,0,0,50,0
10065,Sales & Marketing,region_5,Master's & above,m,other,1,30,3.0,3,0,0,48,0
7620,Operations,region_7,Bachelor's,m,other,2,31,5.0,9,1,0,59,0
69140,HR,region_2,Bachelor's,f,sourcing,1,50,4.0,12,0,0,47,0
